102051 silly lifecycle grunt-newer@0.7.0~preinstall: no script for preinstall, continuing
103762 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/xtraverse
103763 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/yargs/node_modules/camelcase
103764 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/yargs
103765 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/uglify-js
103766 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/karma-ng-jade2js-preprocessor/node_modules/with
103767 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/karma-ng-jade2js-preprocessor/node_modules/constantinople
103768 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/karma-ng-jade2js-preprocessor/node_modules/jade
103769 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/karma-ng-jade2js-preprocessor
103770 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/html-minifier
103771 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/grunt-angular-templates
103772 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/constantinople
103773 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/karma-jade-preprocessor/node_modules/jade
103774 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/karma-jade-preprocessor
103775 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/yauzl
103776 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/extract-zip
103777 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/phantomjs
103778 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/karma-phantomjs-launcher
103779 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/yeast
103780 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/engine.io-client
103781 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/socket.io-client
103782 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/zeparser
103783 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/active-x-obfuscator
103784 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/karma/node_modules/socket.io-client
103785 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/karma/node_modules/socket.io
103786 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/karma
103787 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/zlib-browserify
103788 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/gzip-size
103789 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/maxmin
103790 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/grunt-contrib-uglify
103791 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/grunt-contrib-less
103792 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/grunt-contrib-cssmin
103793 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/body-parser
103794 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/composable-middleware
103795 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/compression
103796 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/connect-mongo
103797 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/cookie-parser
103798 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/ejs
103799 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/errorhandler
103800 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/express-jwt
103801 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/express-session
103802 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/grunt-cli
103803 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/method-override
103804 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/mongoose
103805 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/morgan
103806 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/multer
103807 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/passport
103808 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/passport-facebook
103809 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/passport-local
103810 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/passport-twitter
103811 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/serve-favicon
103812 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/socket.io
103813 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/socketio-jwt
103814 silly finalize /media/ram/Main Drive/hackathon-revamped/node_modules/yo
103815 silly doSerial build 1045
103816 silly build accessibility-developer-tools@2.6.0
103817 info linkStuff accessibility-developer-tools@2.6.0
103818 silly linkStuff accessibility-developer-tools@2.6.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103819 verbose linkBins accessibility-developer-tools@2.6.0
103820 verbose linkMans accessibility-developer-tools@2.6.0
103821 silly build adm-zip@0.4.7
103822 info linkStuff adm-zip@0.4.7
103823 silly linkStuff adm-zip@0.4.7 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103824 verbose linkBins adm-zip@0.4.7
103825 verbose linkMans adm-zip@0.4.7
103826 silly build after@0.8.1
103827 info linkStuff after@0.8.1
103828 silly linkStuff after@0.8.1 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103829 verbose linkBins after@0.8.1
103830 verbose linkMans after@0.8.1
103831 silly build amdefine@1.0.0
103832 info linkStuff amdefine@1.0.0
103833 silly linkStuff amdefine@1.0.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103834 verbose linkBins amdefine@1.0.0
103835 verbose linkMans amdefine@1.0.0
103836 silly build append-field@0.1.0
103837 info linkStuff append-field@0.1.0
103838 silly linkStuff append-field@0.1.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103839 verbose linkBins append-field@0.1.0
103840 verbose linkMans append-field@0.1.0
103841 silly build aproba@1.0.4
103842 info linkStuff aproba@1.0.4
103843 silly linkStuff aproba@1.0.4 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103844 verbose linkBins aproba@1.0.4
103845 verbose linkMans aproba@1.0.4
103846 silly build archy@0.0.2
103847 info linkStuff archy@0.0.2
103848 silly linkStuff archy@0.0.2 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103849 verbose linkBins archy@0.0.2
103850 verbose linkMans archy@0.0.2
103851 silly build arr-flatten@1.0.1
103852 info linkStuff arr-flatten@1.0.1
103853 silly linkStuff arr-flatten@1.0.1 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103854 verbose linkBins arr-flatten@1.0.1
103855 verbose linkMans arr-flatten@1.0.1
103856 silly build arr-diff@2.0.0
103857 info linkStuff arr-diff@2.0.0
103858 silly linkStuff arr-diff@2.0.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103859 verbose linkBins arr-diff@2.0.0
103860 verbose linkMans arr-diff@2.0.0
103861 silly build array-filter@0.0.1
103862 info linkStuff array-filter@0.0.1
103863 silly linkStuff array-filter@0.0.1 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103864 verbose linkBins array-filter@0.0.1
103865 verbose linkMans array-filter@0.0.1
103866 silly build array-flatten@1.1.1
103867 info linkStuff array-flatten@1.1.1
103868 silly linkStuff array-flatten@1.1.1 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103869 verbose linkBins array-flatten@1.1.1
103870 verbose linkMans array-flatten@1.1.1
103871 silly build array-map@0.0.0
103872 info linkStuff array-map@0.0.0
103873 silly linkStuff array-map@0.0.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103874 verbose linkBins array-map@0.0.0
103875 verbose linkMans array-map@0.0.0
103876 silly build array-reduce@0.0.0
103877 info linkStuff array-reduce@0.0.0
103878 silly linkStuff array-reduce@0.0.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103879 verbose linkBins array-reduce@0.0.0
103880 verbose linkMans array-reduce@0.0.0
103881 silly build array-unique@0.2.1
103882 info linkStuff array-unique@0.2.1
103883 silly linkStuff array-unique@0.2.1 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103884 verbose linkBins array-unique@0.2.1
103885 verbose linkMans array-unique@0.2.1
103886 silly build arraybuffer.slice@0.0.6
103887 info linkStuff arraybuffer.slice@0.0.6
103888 silly linkStuff arraybuffer.slice@0.0.6 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103889 verbose linkBins arraybuffer.slice@0.0.6
103890 verbose linkMans arraybuffer.slice@0.0.6
103891 silly build async-each@1.0.1
103892 info linkStuff async-each@1.0.1
103893 silly linkStuff async-each@1.0.1 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103894 verbose linkBins async-each@1.0.1
103895 verbose linkMans async-each@1.0.1
103896 silly build backo2@1.0.2
103897 info linkStuff backo2@1.0.2
103898 silly linkStuff backo2@1.0.2 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103899 verbose linkBins backo2@1.0.2
103900 verbose linkMans backo2@1.0.2
103901 silly build base64-arraybuffer@0.1.2
103902 info linkStuff base64-arraybuffer@0.1.2
103903 silly linkStuff base64-arraybuffer@0.1.2 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103904 verbose linkBins base64-arraybuffer@0.1.2
103905 verbose linkMans base64-arraybuffer@0.1.2
103906 silly build base64-js@0.0.8
103907 info linkStuff base64-js@0.0.8
103908 silly linkStuff base64-js@0.0.8 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103909 verbose linkBins base64-js@0.0.8
103910 verbose linkMans base64-js@0.0.8
103911 silly build base64-url@1.2.2
103912 info linkStuff base64-url@1.2.2
103913 silly linkStuff base64-url@1.2.2 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103914 verbose linkBins base64-url@1.2.2
103915 verbose linkMans base64-url@1.2.2
103916 silly build base64id@0.1.0
103917 info linkStuff base64id@0.1.0
103918 silly linkStuff base64id@0.1.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103919 verbose linkBins base64id@0.1.0
103920 verbose linkMans base64id@0.1.0
103921 silly build base64url@0.0.6
103922 info linkStuff base64url@0.0.6
103923 silly linkStuff base64url@0.0.6 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103924 verbose linkBins base64url@0.0.6
103925 verbose linkMans base64url@0.0.6
103926 silly build basic-auth@1.0.4
103927 info linkStuff basic-auth@1.0.4
103928 silly linkStuff basic-auth@1.0.4 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103929 verbose linkBins basic-auth@1.0.4
103930 verbose linkMans basic-auth@1.0.4
103931 silly build basic-auth-connect@1.0.0
103932 info linkStuff basic-auth-connect@1.0.0
103933 silly linkStuff basic-auth-connect@1.0.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103934 verbose linkBins basic-auth-connect@1.0.0
103935 verbose linkMans basic-auth-connect@1.0.0
103936 silly build batch@0.5.3
103937 info linkStuff batch@0.5.3
103938 silly linkStuff batch@0.5.3 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103939 verbose linkBins batch@0.5.3
103940 verbose linkMans batch@0.5.3
103941 silly build benchmark@1.0.0
103942 info linkStuff benchmark@1.0.0
103943 silly linkStuff benchmark@1.0.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103944 verbose linkBins benchmark@1.0.0
103945 verbose linkMans benchmark@1.0.0
103946 silly build minimist@1.2.0
103947 info linkStuff minimist@1.2.0
103948 silly linkStuff minimist@1.2.0 has /media/ram/Main Drive/hackathon-revamped/node_modules/biased-opener/node_modules as its parent node_modules
103949 verbose linkBins minimist@1.2.0
103950 verbose linkMans minimist@1.2.0
103951 silly build big-integer@1.6.16
103952 info linkStuff big-integer@1.6.16
103953 silly linkStuff big-integer@1.6.16 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103954 verbose linkBins big-integer@1.6.16
103955 verbose link bins [ {},
103955 verbose link bins   '/media/ram/Main Drive/hackathon-revamped/node_modules/.bin',
103955 verbose link bins   false ]
103956 verbose linkMans big-integer@1.6.16
103957 silly build binary-extensions@1.6.0
103958 info linkStuff binary-extensions@1.6.0
103959 silly linkStuff binary-extensions@1.6.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103960 verbose linkBins binary-extensions@1.6.0
103961 verbose linkMans binary-extensions@1.6.0
103962 silly build blob@0.0.4
103963 info linkStuff blob@0.0.4
103964 silly linkStuff blob@0.0.4 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103965 verbose linkBins blob@0.0.4
103966 verbose linkMans blob@0.0.4
103967 silly build block-stream@0.0.9
103968 info linkStuff block-stream@0.0.9
103969 silly linkStuff block-stream@0.0.9 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103970 verbose linkBins block-stream@0.0.9
103971 verbose linkMans block-stream@0.0.9
103972 silly build bluebird@2.10.2
103973 info linkStuff bluebird@2.10.2
103974 silly linkStuff bluebird@2.10.2 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103975 verbose linkBins bluebird@2.10.2
103976 verbose linkMans bluebird@2.10.2
103977 silly build iconv-lite@0.4.4
103978 info linkStuff iconv-lite@0.4.4
103979 silly linkStuff iconv-lite@0.4.4 has /media/ram/Main Drive/hackathon-revamped/node_modules/body-parser/node_modules as its parent node_modules
103980 verbose linkBins iconv-lite@0.4.4
103981 verbose linkMans iconv-lite@0.4.4
103982 silly build mime-types@1.0.2
103983 info linkStuff mime-types@1.0.2
103984 silly linkStuff mime-types@1.0.2 has /media/ram/Main Drive/hackathon-revamped/node_modules/body-parser/node_modules as its parent node_modules
103985 verbose linkBins mime-types@1.0.2
103986 verbose linkMans mime-types@1.0.2
103987 silly build boolbase@1.0.0
103988 info linkStuff boolbase@1.0.0
103989 silly linkStuff boolbase@1.0.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103990 verbose linkBins boolbase@1.0.0
103991 verbose linkMans boolbase@1.0.0
103992 silly build bower@1.7.9
103993 info linkStuff bower@1.7.9
103994 silly linkStuff bower@1.7.9 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
103995 verbose linkBins bower@1.7.9
103996 verbose link bins [ { bower: 'bin/bower' },
103996 verbose link bins   '/media/ram/Main Drive/hackathon-revamped/node_modules/.bin',
103996 verbose link bins   false ]
103997 verbose linkMans bower@1.7.9
103998 silly build graceful-fs@2.0.3
103999 info linkStuff graceful-fs@2.0.3
104000 silly linkStuff graceful-fs@2.0.3 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-config/node_modules as its parent node_modules
104001 verbose linkBins graceful-fs@2.0.3
104002 verbose linkMans graceful-fs@2.0.3
104003 silly build osenv@0.0.3
104004 info linkStuff osenv@0.0.3
104005 silly linkStuff osenv@0.0.3 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-config/node_modules as its parent node_modules
104006 verbose linkBins osenv@0.0.3
104007 verbose linkMans osenv@0.0.3
104008 silly build bower-endpoint-parser@0.2.2
104009 info linkStuff bower-endpoint-parser@0.2.2
104010 silly linkStuff bower-endpoint-parser@0.2.2 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
104011 verbose linkBins bower-endpoint-parser@0.2.2
104012 verbose linkMans bower-endpoint-parser@0.2.2
104013 silly build deep-extend@0.2.11
104014 info linkStuff deep-extend@0.2.11
104015 silly linkStuff deep-extend@0.2.11 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-json/node_modules as its parent node_modules
104016 verbose linkBins deep-extend@0.2.11
104017 verbose linkMans deep-extend@0.2.11
104018 silly build graceful-fs@2.0.3
104019 info linkStuff graceful-fs@2.0.3
104020 silly linkStuff graceful-fs@2.0.3 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-json/node_modules as its parent node_modules
104021 verbose linkBins graceful-fs@2.0.3
104022 verbose linkMans graceful-fs@2.0.3
104023 silly build bower-logger@0.2.2
104024 info linkStuff bower-logger@0.2.2
104025 silly linkStuff bower-logger@0.2.2 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
104026 verbose linkBins bower-logger@0.2.2
104027 verbose linkMans bower-logger@0.2.2
104028 silly build asn1@0.1.11
104029 info linkStuff asn1@0.1.11
104030 silly linkStuff asn1@0.1.11 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104031 verbose linkBins asn1@0.1.11
104032 verbose linkMans asn1@0.1.11
104033 silly build assert-plus@0.1.5
104034 info linkStuff assert-plus@0.1.5
104035 silly linkStuff assert-plus@0.1.5 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104036 verbose linkBins assert-plus@0.1.5
104037 verbose linkMans assert-plus@0.1.5
104038 silly build async@0.2.10
104039 info linkStuff async@0.2.10
104040 silly linkStuff async@0.2.10 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104041 verbose linkBins async@0.2.10
104042 verbose linkMans async@0.2.10
104043 silly build aws-sign2@0.5.0
104044 info linkStuff aws-sign2@0.5.0
104045 silly linkStuff aws-sign2@0.5.0 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104046 verbose linkBins aws-sign2@0.5.0
104047 verbose linkMans aws-sign2@0.5.0
104048 silly build caseless@0.8.0
104049 info linkStuff caseless@0.8.0
104050 silly linkStuff caseless@0.8.0 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104051 verbose linkBins caseless@0.8.0
104052 verbose linkMans caseless@0.8.0
104053 silly build delayed-stream@0.0.5
104054 info linkStuff delayed-stream@0.0.5
104055 silly linkStuff delayed-stream@0.0.5 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104056 verbose linkBins delayed-stream@0.0.5
104057 verbose linkMans delayed-stream@0.0.5
104058 silly build combined-stream@0.0.7
104059 info linkStuff combined-stream@0.0.7
104060 silly linkStuff combined-stream@0.0.7 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104061 verbose linkBins combined-stream@0.0.7
104062 verbose linkMans combined-stream@0.0.7
104063 silly build forever-agent@0.5.2
104064 info linkStuff forever-agent@0.5.2
104065 silly linkStuff forever-agent@0.5.2 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104066 verbose linkBins forever-agent@0.5.2
104067 verbose linkMans forever-agent@0.5.2
104068 silly build async@0.9.2
104069 info linkStuff async@0.9.2
104070 silly linkStuff async@0.9.2 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules/form-data/node_modules as its parent node_modules
104071 verbose linkBins async@0.9.2
104072 verbose linkMans async@0.9.2
104073 silly build graceful-fs@2.0.3
104074 info linkStuff graceful-fs@2.0.3
104075 silly linkStuff graceful-fs@2.0.3 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104076 verbose linkBins graceful-fs@2.0.3
104077 verbose linkMans graceful-fs@2.0.3
104078 silly build hoek@0.9.1
104079 info linkStuff hoek@0.9.1
104080 silly linkStuff hoek@0.9.1 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104081 verbose linkBins hoek@0.9.1
104082 verbose linkMans hoek@0.9.1
104083 silly build boom@0.4.2
104084 info linkStuff boom@0.4.2
104085 silly linkStuff boom@0.4.2 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104086 verbose linkBins boom@0.4.2
104087 verbose linkMans boom@0.4.2
104088 silly build cryptiles@0.2.2
104089 info linkStuff cryptiles@0.2.2
104090 silly linkStuff cryptiles@0.2.2 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104091 verbose linkBins cryptiles@0.2.2
104092 verbose linkMans cryptiles@0.2.2
104093 silly build isarray@0.0.1
104094 info linkStuff isarray@0.0.1
104095 silly linkStuff isarray@0.0.1 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104096 verbose linkBins isarray@0.0.1
104097 verbose linkMans isarray@0.0.1
104098 silly build lru-cache@2.3.1
104099 info linkStuff lru-cache@2.3.1
104100 silly linkStuff lru-cache@2.3.1 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104101 verbose linkBins lru-cache@2.3.1
104102 verbose linkMans lru-cache@2.3.1
104103 silly build mime-db@1.12.0
104104 info linkStuff mime-db@1.12.0
104105 silly linkStuff mime-db@1.12.0 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104106 verbose linkBins mime-db@1.12.0
104107 verbose linkMans mime-db@1.12.0
104108 silly build mime-types@2.0.14
104109 info linkStuff mime-types@2.0.14
104110 silly linkStuff mime-types@2.0.14 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules/form-data/node_modules as its parent node_modules
104111 verbose linkBins mime-types@2.0.14
104112 verbose linkMans mime-types@2.0.14
104113 silly build form-data@0.2.0
104114 info linkStuff form-data@0.2.0
104115 silly linkStuff form-data@0.2.0 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104116 verbose linkBins form-data@0.2.0
104117 verbose linkMans form-data@0.2.0
104118 silly build mime-types@1.0.2
104119 info linkStuff mime-types@1.0.2
104120 silly linkStuff mime-types@1.0.2 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104121 verbose linkBins mime-types@1.0.2
104122 verbose linkMans mime-types@1.0.2
104123 silly build mkdirp@0.3.5
104124 info linkStuff mkdirp@0.3.5
104125 silly linkStuff mkdirp@0.3.5 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104126 verbose linkBins mkdirp@0.3.5
104127 verbose linkMans mkdirp@0.3.5
104128 silly build oauth-sign@0.5.0
104129 info linkStuff oauth-sign@0.5.0
104130 silly linkStuff oauth-sign@0.5.0 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104131 verbose linkBins oauth-sign@0.5.0
104132 verbose linkMans oauth-sign@0.5.0
104133 silly build qs@2.3.3
104134 info linkStuff qs@2.3.3
104135 silly linkStuff qs@2.3.3 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104136 verbose linkBins qs@2.3.3
104137 verbose linkMans qs@2.3.3
104138 silly build readable-stream@1.0.34
104139 info linkStuff readable-stream@1.0.34
104140 silly linkStuff readable-stream@1.0.34 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104141 verbose linkBins readable-stream@1.0.34
104142 verbose linkMans readable-stream@1.0.34
104143 silly build bl@0.9.5
104144 info linkStuff bl@0.9.5
104145 silly linkStuff bl@0.9.5 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104146 verbose linkBins bl@0.9.5
104147 verbose linkMans bl@0.9.5
104148 silly build sntp@0.2.4
104149 info linkStuff sntp@0.2.4
104150 silly linkStuff sntp@0.2.4 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104151 verbose linkBins sntp@0.2.4
104152 verbose linkMans sntp@0.2.4
104153 silly build hawk@1.1.1
104154 info linkStuff hawk@1.1.1
104155 silly linkStuff hawk@1.1.1 has /media/ram/Main Drive/hackathon-revamped/node_modules/bower-registry-client/node_modules as its parent node_modules
104156 verbose linkBins hawk@1.1.1
104157 verbose linkMans hawk@1.1.1
104158 silly build bplist-parser@0.1.1
104159 info linkStuff bplist-parser@0.1.1
104160 silly linkStuff bplist-parser@0.1.1 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
104161 verbose linkBins bplist-parser@0.1.1
104162 verbose linkMans bplist-parser@0.1.1
104163 silly build buffers@0.1.1
104164 info linkStuff buffers@0.1.1
104165 silly linkStuff buffers@0.1.1 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
104166 verbose linkBins buffers@0.1.1
104167 verbose linkMans buffers@0.1.1
104168 silly build isarray@0.0.1
104169 info linkStuff isarray@0.0.1
104170 silly linkStuff isarray@0.0.1 has /media/ram/Main Drive/hackathon-revamped/node_modules/busboy/node_modules as its parent node_modules
104171 verbose linkBins isarray@0.0.1
104172 verbose linkMans isarray@0.0.1
104173 silly build readable-stream@1.1.14
104174 info linkStuff readable-stream@1.1.14
104175 silly linkStuff readable-stream@1.1.14 has /media/ram/Main Drive/hackathon-revamped/node_modules/busboy/node_modules as its parent node_modules
104176 verbose linkBins readable-stream@1.1.14
104177 verbose linkMans readable-stream@1.1.14
104178 silly build bytes@1.0.0
104179 info linkStuff bytes@1.0.0
104180 silly linkStuff bytes@1.0.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
104181 verbose linkBins bytes@1.0.0
104182 verbose linkMans bytes@1.0.0
104183 silly build callsite@1.0.0
104184 info linkStuff callsite@1.0.0
104185 silly linkStuff callsite@1.0.0 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
104186 verbose linkBins callsite@1.0.0
104187 verbose linkMans callsite@1.0.0
104188 silly build better-assert@1.0.2
104189 info linkStuff better-assert@1.0.2
104190 silly linkStuff better-assert@1.0.2 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
104191 verbose linkBins better-assert@1.0.2
104192 verbose linkMans better-assert@1.0.2
104193 silly build caniuse-db@1.0.30000539
104194 info linkStuff caniuse-db@1.0.30000539
104195 silly linkStuff caniuse-db@1.0.30000539 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
104196 verbose linkBins caniuse-db@1.0.30000539
104197 verbose linkMans caniuse-db@1.0.30000539
104198 silly build semver@5.0.3
104199 info linkStuff semver@5.0.3
104200 silly linkStuff semver@5.0.3 has /media/ram/Main Drive/hackathon-revamped/node_modules/cdnjs-cdn-data/node_modules as its parent node_modules
104201 verbose linkBins semver@5.0.3
104202 verbose link bins [ { semver: './bin/semver' },
104202 verbose link bins   '/media/ram/Main Drive/hackathon-revamped/node_modules/cdnjs-cdn-data/node_modules/.bin',
104202 verbose link bins   false ]
104203 verbose linkMans semver@5.0.3
104204 silly gentlyRm /media/ram/Main Drive/hackathon-revamped/node_modules/cdnjs-cdn-data/node_modules/.bin/semver is being purged
104205 verbose gentlyRm don't care about contents; nuking /media/ram/Main Drive/hackathon-revamped/node_modules/cdnjs-cdn-data/node_modules/.bin/semver
104206 silly build cdnjs-cdn-data@0.1.2
104207 info linkStuff cdnjs-cdn-data@0.1.2
104208 silly linkStuff cdnjs-cdn-data@0.1.2 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
104209 verbose linkBins cdnjs-cdn-data@0.1.2
104210 verbose linkMans cdnjs-cdn-data@0.1.2
104211 silly build character-parser@1.0.2
104212 info linkStuff character-parser@1.0.2
104213 silly linkStuff character-parser@1.0.2 has /media/ram/Main Drive/hackathon-revamped/node_modules as its parent node_modules
104214 verbose linkBins character-parser@1.0.2
104215 verbose linkMans character-parser@1.0.2
104216 silly build entities@0.5.0
104217 info linkStuff entities@0.5.0
